column_number, radial distance, total stars, total sterilizations- at least sterilized once
398,11925,1727280,12960
399,11955,1709280,12600
400,11985,1692360,6120
401,12015,1670760,4320
402,12045,1653480,2520
403,12075,1640160,2520
404,12105,1620000,2880
405,12135,1601640,5400
406,12165,1585080,9720
407,12195,1568160,5400
408,12225,1551600,2880
409,12255,1532520,8280
410,12285,1519920,2880
411,12315,1500480,0
412,12345,1485000,3960
413,12375,1470600,9360
414,12405,1452960,2160
415,12435,1433520,15480
416,12465,1418400,3240
417,12495,1407240,1440
418,12525,1393920,4680
419,12555,1377720,6480
420,12585,1361160,6840
421,12615,1345680,2520
422,12645,1330920,1440
423,12675,1317240,1800
424,12705,1300680,6480
425,12735,1290240,4320
426,12765,1271160,720
427,12795,1256760,9360
428,12825,1247400,2160
429,12855,1235160,1440
430,12885,1220040,5040
431,12915,1201320,2160
432,12945,1190160,2160
433,12975,1177560,0
434,13005,1168560,2880
435,13035,1152720,2520
436,13065,1138320,7560
437,13095,1129680,4320
438,13125,1116000,1440
439,13155,1105560,2520
440,13185,1087920,7560
441,13215,1081440,2880
442,13245,1066680,720
443,13275,1055160,1080
444,13305,1046160,360
445,13335,1033920,360
446,13365,1020600,3600
447,13395,1009440,1080
448,13425,996480,5040
449,13455,990360,4320
450,13485,976680,720
451,13515,968040,6840
452,13545,954360,0
453,13575,942840,0
454,13605,937800,1080
455,13635,925560,1440
456,13665,914040,720
457,13695,902880,720
458,13725,894600,1800
459,13755,881280,4680
460,13785,876960,1440
461,13815,865080,1440
462,13845,852480,0
463,13875,846720,1440
464,13905,837360,3240
465,13935,830520,2520
466,13965,820080,2160
467,13995,810720,1440
468,14025,800640,2160
469,14055,792720,1080
470,14085,779760,0
471,14115,773640,360
472,14145,765000,2520
473,14175,754560,360
474,14205,747360,0
475,14235,739440,0
476,14265,735120,1440
477,14295,723240,360
478,14325,714600,1800
479,14355,704880,0
480,14385,696240,360
481,14415,691920,0
482,14445,682200,720
483,14475,674280,360
484,14505,667080,1800
485,14535,659880,1080
486,14565,653400,0
487,14595,645480,1440
488,14625,639720,0
489,14655,627840,360
490,14685,627840,0
491,14715,620280,0
492,14745,610920,720
493,14775,602280,720
494,14805,594360,1440
495,14835,589320,2880
496,14865,582840,1080
497,14895,577080,1800
498,14925,571680,0
499,14955,565920,1800
500,14985,560520,360
501,15015,550440,1440
502,15045,544680,1080
503,15075,541800,360
504,15105,532080,3600
505,15135,527040,2520
506,15165,515880,360
507,15195,514080,0
508,15225,510840,1440
509,15255,503280,2880
510,15285,498240,0
511,15315,491040,0
The following results are multiplied by 360 such that they apply to the entire Galaxy
Number of TypeII: 9483840 Number of TypeIa: 1017000 Total Sterilizations SNII: 661682880 Total Sterilizations Ia: 444860280 Total stellar mass: 1.37997e+09Number of SNII: 6586560
Number of SNIa: 627840
